CPU = 4
n_jobs	ThreadPool(s)	ProcessPool(s)
1	1.024937	1.038358
2	1.032039	0.534996
3	1.041199	0.572955
4	1.036777	0.661355
5	1.078248	0.675382
6	1.063231	0.666499
7	1.082249	0.677557
8	1.059133	0.668894
#Проверял на виртуалке, на локальном маке вышло вот так если интересно
CPU = 12
n_jobs  ThreadPool(s)   ProcessPool(s)
1       0.475104        0.543101
2       0.471832        0.287987
3       0.529037        0.208968
4       0.489873        0.169204
5       0.472382        0.148528
6       0.479116        0.133160
7       0.482556        0.142220
8       0.476233        0.147583
9       0.485260        0.139490
10      0.482254        0.150408
11      0.484553        0.144959
12      0.492305        0.149988
13      0.487312        0.156248
14      0.494251        0.152920
15      0.476970        0.154932
16      0.485294        0.161732
17      0.478256        0.164335
18      0.476583        0.165043
19      0.481402        0.181514
20      0.492794        0.171856
21      0.476536        0.179936
22      0.478034        0.181877
23      0.478035        0.181953
24      0.478620        0.191726
